Horizontal
i:17, j:76, left:8, right:8
i:17, j:83, left:8, right:8
i:17, j:84, left:8, right:8
i:17, j:99, left:8, right:8
i:17, j:101, left:8, right:8
i:17, j:107, left:8, right:8
i:17, j:115, left:7, right:7
i:17, j:116, left:7, right:7
i:17, j:118, left:7, right:7
i:18, j:1, left:8, right:8
i:18, j:2, left:8, right:8
i:18, j:6, left:8, right:8
i:18, j:13, left:8, right:6
i:18, j:16, left:5, right:3
i:18, j:17, left:3, right:3
i:18, j:21, left:3, right:1
i:18, j:29, left:1, right:2
i:18, j:37, left:0, right:0
i:18, j:39, left:0, right:0
i:18, j:42, left:0, right:0
i:18, j:43, left:1, right:0
i:18, j:44, left:1, right:1
i:18, j:49, left:8, right:8
i:18, j:50, left:8, right:8
i:18, j:52, left:8, right:8
i:18, j:56, left:8, right:8
i:18, j:63, left:8, right:8
i:18, j:64, left:8, right:8
i:18, j:72, left:8, right:8
i:18, j:75, left:8, right:8
i:18, j:77, left:8, right:8
i:18, j:78, left:8, right:8
i:18, j:79, left:8, right:8
i:18, j:82, left:8, right:8
i:18, j:85, left:8, right:8
i:18, j:88, left:8, right:8
i:18, j:93, left:8, right:8
i:18, j:94, left:8, right:8
i:18, j:97, left:8, right:8
i:18, j:98, left:8, right:8
i:18, j:100, left:8, right:8
i:18, j:104, left:8, right:8
i:18, j:108, left:8, right:8
i:18, j:109, left:8, right:8
i:18, j:110, left:8, right:8
i:18, j:111, left:8, right:8
i:18, j:112, left:8, right:8
i:18, j:117, left:7, right:7
i:18, j:119, left:7, right:7
i:19, j:0, left:8, right:8
i:19, j:5, left:8, right:8
i:19, j:14, left:4, right:3
i:19, j:15, left:3, right:3
i:19, j:18, left:3, right:3
i:19, j:19, left:4, right:4
i:19, j:20, left:4, right:3
i:19, j:26, left:1, right:1
i:19, j:27, left:1, right:1
i:19, j:28, left:1, right:1
i:19, j:30, left:2, right:2
i:19, j:31, left:2, right:2
i:19, j:32, left:2, right:2
i:19, j:33, left:2, right:2
i:19, j:34, left:2, right:2
i:19, j:38, left:0, right:0
i:19, j:51, left:8, right:8
i:19, j:55, left:8, right:8
i:19, j:61, left:8, right:8
i:19, j:62, left:8, right:8
i:19, j:65, left:8, right:8
i:19, j:70, left:8, right:8
i:19, j:71, left:8, right:8
i:19, j:73, left:8, right:8
i:19, j:74, left:8, right:8
i:19, j:76, left:8, right:8
i:19, j:80, left:8, right:8
i:19, j:81, left:8, right:8
i:19, j:86, left:8, right:8
i:19, j:87, left:8, right:8
i:19, j:89, left:8, right:8
i:19, j:92, left:8, right:8
i:19, j:95, left:8, right:8
i:19, j:96, left:8, right:8
i:19, j:99, left:8, right:8
i:19, j:103, left:8, right:7
i:19, j:105, left:8, right:8
i:19, j:106, left:8, right:8
i:19, j:107, left:8, right:8
i:19, j:113, left:8, right:8
i:19, j:116, left:7, right:7
i:19, j:118, left:7, right:7
i:20, j:1, left:8, right:8
i:20, j:4, left:8, right:8
i:20, j:25, left:1, right:1
i:20, j:29, left:2, right:2
i:20, j:35, left:2, right:2
i:20, j:39, left:0, right:0
i:20, j:44, left:1, right:1
i:20, j:45, left:1, right:1
i:20, j:46, left:1, right:2
i:20, j:52, left:8, right:8
i:20, j:53, left:8, right:8
i:20, j:54, left:8, right:8
i:20, j:58, left:8, right:9
i:20, j:63, left:8, right:8
i:20, j:64, left:8, right:8
i:20, j:66, left:8, right:8
i:20, j:67, left:8, right:8
i:20, j:68, left:8, right:8
i:20, j:69, left:8, right:8
i:20, j:72, left:8, right:8
i:20, j:75, left:8, right:8
i:20, j:79, left:8, right:8
i:20, j:88, left:8, right:8
i:20, j:90, left:8, right:8
i:20, j:91, left:8, right:8
i:20, j:102, left:8, right:4
i:20, j:104, left:7, right:4
i:20, j:108, left:7, right:7
i:20, j:109, left:7, right:7
i:20, j:110, left:7, right:7
i:20, j:114, left:8, right:8
i:20, j:115, left:7, right:7
i:20, j:117, left:7, right:7
i:20, j:119, left:7, right:7
i:21, j:0, left:8, right:8
i:21, j:2, left:8, right:8
i:21, j:3, left:8, right:8
i:21, j:5, left:8, right:8
i:21, j:6, left:8, right:8
i:21, j:13, left:4, right:6
i:21, j:14, left:3, right:3
i:21, j:23, left:1, right:1
i:21, j:24, left:1, right:1
i:21, j:26, left:1, right:1
i:21, j:30, left:2, right:2
i:21, j:31, left:2, right:2
i:21, j:32, left:2, right:2
i:21, j:36, left:2, right:2
i:21, j:40, left:0, right:0
i:21, j:43, left:0, right:1
i:21, j:51, left:8, right:8
i:21, j:55, left:8, right:8
i:21, j:56, left:8, right:8
i:21, j:57, left:8, right:8
i:21, j:59, left:8, right:8
i:21, j:60, left:8, right:8
i:21, j:65, left:8, right:8
i:21, j:70, left:8, right:8
i:21, j:71, left:8, right:8
i:21, j:76, left:8, right:8
i:21, j:77, left:8, right:8
i:21, j:78, left:8, right:8
i:21, j:80, left:8, right:8
i:21, j:83, left:8, right:8
i:21, j:84, left:8, right:8
i:21, j:87, left:8, right:8
i:21, j:89, left:8, right:8
i:21, j:92, left:8, right:8
i:21, j:93, left:8, right:8
i:21, j:94, left:8, right:8
i:21, j:95, left:8, right:7
i:21, j:96, left:8, right:6
i:21, j:101, left:5, right:2
i:21, j:103, left:4, right:2
i:21, j:107, left:7, right:3
i:21, j:111, left:7, right:8
i:21, j:116, left:7, right:7
i:21, j:118, left:7, right:7
i:22, j:1, left:8, right:8
i:22, j:4, left:8, right:8
i:22, j:7, left:8, right:8
i:22, j:12, left:8, right:8
i:22, j:17, left:3, right:4
i:22, j:22, left:1, right:1
i:22, j:25, left:1, right:1
i:22, j:27, left:1, right:1
i:22, j:33, left:2, right:2
i:22, j:37, left:1, right:1
i:22, j:50, left:8, right:7
i:22, j:54, left:8, right:6
i:22, j:58, left:8, right:6
i:22, j:63, left:8, right:8
i:22, j:64, left:8, right:8
i:22, j:79, left:8, right:8
